time,hr,vo2
"0:25:34,400",107,1.84
"0:25:36,140",107,1.81
"0:25:37,880",107,1.81
"0:25:39,600",107,1.79
"0:25:41,280",107,1.69
"0:25:42,720",107,1.81
"0:25:44,020",107,1.81
"0:25:44,840",107,1.91
"0:25:47,320",107,1.91
"0:25:51,700",109,2.11
"0:25:54,420",110,2.11
"0:25:56,120",111,2.11
"0:25:57,640",111,2.25
"0:25:59,360",111,2.25
"0:26:00,820",111,2.25
"0:26:02,160",111,2.35
"0:26:03,760",111,2.27
"0:26:05,440",111,2.07
"0:26:07,180",111,2.08
"0:26:08,740",110,2.09
"0:26:10,240",110,2.06
"0:26:11,460",109,2.00
"0:26:12,920",109,2.00
"0:26:14,460",107,1.96
"0:26:16,380",107,1.98
"0:26:18,440",105,2.04
"0:26:20,460",105,1.96
"0:26:21,840",105,1.81
"0:26:23,180",105,1.77
"0:26:24,440",105,1.81
"0:26:26,200",105,1.81
"0:26:27,920",105,1.81
"0:26:29,880",105,1.77
"0:26:31,240",104,1.77
"0:26:33,760",104,1.84
"0:26:36,300",103,1.72
"0:26:38,580",103,1.65
"0:26:39,640",103,1.57
"0:26:41,320",103,1.42
"0:26:43,780",103,1.74
"0:26:45,360",103,1.74
"0:26:47,380",104,1.89
"0:26:55,380",104,2.17
"0:26:58,760",104,2.17
"0:27:01,980",105,2.13
"0:27:04,480",106,2.13
"0:27:06,360",106,1.65
"0:27:08,100",107,1.96
"0:27:11,460",107,2.42
"0:27:12,900",107,2.62
"0:27:17,320",107,2.55
"0:27:18,860",107,2.48
"0:27:20,560",107,2.50
"0:27:22,280",108,2.32
"0:27:23,960",108,2.29
"0:27:25,580",109,2.18
"0:27:27,180",109,2.15
"0:27:28,940",109,2.18
"0:27:31,640",109,2.18
"0:27:32,900",109,2.08
"0:27:35,620",109,1.97
"0:27:37,240",109,1.84
"0:27:41,020",107,1.84
"0:27:43,440",105,1.91
"0:27:45,040",105,1.91
"0:27:47,040",104,1.91
"0:27:48,540",104,1.75
"0:27:50,460",103,1.75
"0:27:52,040",103,1.83
"0:27:55,780",103,1.87
"0:27:58,400",103,1.91
"0:28:00,680",103,2.11
"0:28:02,580",103,2.05
"0:28:04,540",104,1.81
"0:28:06,480",104,2.04
"0:28:08,500",105,2.11
"0:28:10,800",106,2.12
"0:28:15,360",106,2.04
"0:28:17,300",107,1.98
"0:28:18,920",107,2.09
"0:28:20,660",107,2.11
"0:28:22,160",107,2.14
"0:28:23,840",107,2.19
"0:28:25,680",107,2.35
"0:28:27,160",107,2.25
"0:28:28,320",106,2.25
"0:28:29,820",106,2.10
"0:28:31,200",106,2.12
"0:28:32,480",106,1.97
"0:28:35,760",106,1.97
"0:28:37,260",106,2.14
"0:28:38,640",106,2.14
"0:28:39,780",106,2.05
"0:28:41,060",106,2.09
"0:28:42,540",106,2.10
"0:28:44,120",106,2.05
"0:28:45,700",106,2.10
"0:28:47,340",106,2.09
"0:28:48,820",106,1.96
"0:28:49,960",107,1.89
"0:28:52,780",107,1.85
"0:28:55,940",108,1.89
"0:28:57,580",108,1.61
"0:28:59,220",108,1.50
"0:29:01,140",108,1.49
"0:29:03,220",108,1.49
"0:29:05,620",108,1.49
"0:29:07,740",108,1.57
"0:29:10,480",108,1.71
"0:29:12,800",108,1.74
"0:29:14,980",108,1.74
"0:29:16,860",108,1.93
"0:29:18,580",108,2.10
"0:29:20,300",108,2.11
"0:29:21,900",109,1.99
"0:29:23,500",109,1.98
"0:29:25,120",109,1.94
"0:29:26,960",110,1.99
"0:29:28,760",110,2.01
"0:29:30,440",110,1.99
"0:29:36,520",110,1.96
"0:29:37,860",110,2.07
"0:29:39,280",110,2.07
"0:29:41,000",110,2.04
"0:29:41,580",110,2.07
"0:29:43,140",110,1.92
"0:29:44,860",109,1.88
"0:29:46,600",108,2.00
"0:29:48,280",108,1.83
"0:29:50,080",108,1.81
"0:29:52,040",108,1.77
"0:29:54,180",108,1.77
"0:29:56,120",107,1.67
"0:29:57,880",107,1.65
"0:29:59,780",107,1.63
"0:30:01,560",107,1.68
"0:30:03,480",107,1.68
"0:30:05,460",107,1.68
"0:30:12,480",108,1.63
"0:30:14,740",108,1.55
"0:30:17,240",108,1.61
"0:30:19,280",108,1.61
"0:30:21,420",108,1.81
"0:30:24,260",108,1.69
"0:30:26,000",108,1.73
"0:30:27,840",108,1.70
"0:30:29,640",108,1.74
"0:30:31,320",108,1.79
"0:30:33,060",108,1.82
"0:30:34,600",108,1.77
"0:30:36,320",109,1.80
"0:30:38,640",109,1.77
"0:30:40,600",109,1.77
"0:30:44,380",109,1.79
"0:30:45,760",109,1.81
"0:30:47,500",109,1.96
"0:30:48,960",109,1.88
"0:30:50,580",109,1.88
"0:30:53,160",109,1.87
"0:30:54,940",110,1.83
"0:30:56,940",110,1.73
"0:30:59,780",110,1.74
"0:31:02,000",110,1.74
"0:31:03,820",110,1.76
"0:31:06,000",110,1.84
"0:31:07,980",110,1.86
"0:31:09,860",110,1.91
"0:31:11,840",110,1.91
"0:31:13,800",110,1.99
"0:31:20,480",110,1.91
"0:31:22,340",110,1.91
"0:31:24,600",110,1.91
"0:31:26,620",110,1.93
"0:31:28,380",110,1.87
"0:31:30,420",110,1.86
"0:31:32,220",110,1.86
"0:31:34,140",110,1.84
"0:31:36,300",109,1.84
"0:31:41,140",109,1.81
"0:31:43,060",109,1.73
"0:31:44,960",109,1.80
"0:31:47,100",109,1.67
"0:31:48,940",109,1.73
"0:31:51,800",108,1.58
"0:31:54,220",108,1.57
"0:31:58,600",108,1.57
"0:32:00,340",107,1.57
"0:32:02,440",107,1.58
"0:32:04,380",106,1.58
"0:32:06,320",106,1.58
